#epoch loss_f loss_bc_u_top loss_bc_u_rest loss_bc_v u_avg u_std v_avg v_std
178 3.0571e-02 6.4464e-02 1.0024e-01 1.6440e-03 7.5244e-01 3.6838e-02 5.3874e-02 2.2490e-02
179 3.0445e-02 6.3889e-02 9.9792e-02 1.6189e-03 7.5359e-01 3.6832e-02 5.3380e-02 2.2404e-02
180 3.0324e-02 6.3326e-02 9.9333e-02 1.5934e-03 7.5473e-01 3.6814e-02 5.2870e-02 2.2316e-02
181 3.0208e-02 6.2769e-02 9.8868e-02 1.5675e-03 7.5587e-01 3.6784e-02 5.2347e-02 2.2225e-02
182 3.0098e-02 6.2217e-02 9.8399e-02 1.5414e-03 7.5701e-01 3.6741e-02 5.1814e-02 2.2132e-02
183 2.9995e-02 6.1664e-02 9.7929e-02 1.5153e-03 7.5816e-01 3.6684e-02 5.1272e-02 2.2036e-02
184 2.9900e-02 6.1110e-02 9.7460e-02 1.4891e-03 7.5931e-01 3.6614e-02 5.0723e-02 2.1937e-02
185 2.9811e-02 6.0553e-02 9.6993e-02 1.4630e-03 7.6048e-01 3.6531e-02 5.0169e-02 2.1837e-02
186 2.9730e-02 5.9992e-02 9.6529e-02 1.4370e-03 7.6166e-01 3.6435e-02 4.9610e-02 2.1733e-02
187 2.9656e-02 5.9427e-02 9.6067e-02 1.4112e-03 7.6285e-01 3.6327e-02 4.9047e-02 2.1628e-02
188 2.9587e-02 5.8859e-02 9.5608e-02 1.3856e-03 7.6405e-01 3.6207e-02 4.8481e-02 2.1521e-02
189 2.9524e-02 5.8290e-02 9.5151e-02 1.3603e-03 7.6524e-01 3.6076e-02 4.7910e-02 2.1411e-02
190 2.9465e-02 5.7723e-02 9.4693e-02 1.3353e-03 7.6644e-01 3.5935e-02 4.7336e-02 2.1300e-02
191 2.9408e-02 5.7159e-02 9.4235e-02 1.3105e-03 7.6762e-01 3.5784e-02 4.6757e-02 2.1186e-02
192 2.9354e-02 5.6601e-02 9.3775e-02 1.2860e-03 7.6880e-01 3.5625e-02 4.6175e-02 2.1071e-02
193 2.9300e-02 5.6052e-02 9.3312e-02 1.2618e-03 7.6995e-01 3.5457e-02 4.5588e-02 2.0954e-02
194 2.9246e-02 5.5511e-02 9.2846e-02 1.2380e-03 7.7109e-01 3.5281e-02 4.4998e-02 2.0836e-02
195 2.9191e-02 5.4981e-02 9.2376e-02 1.2146e-03 7.7221e-01 3.5097e-02 4.4406e-02 2.0716e-02
196 2.9134e-02 5.4461e-02 9.1904e-02 1.1916e-03 7.7332e-01 3.4905e-02 4.3811e-02 2.0595e-02
197 2.9076e-02 5.3949e-02 9.1430e-02 1.1690e-03 7.7442e-01 3.4704e-02 4.3216e-02 2.0472e-02
198 2.9016e-02 5.3445e-02 9.0957e-02 1.1471e-03 7.7551e-01 3.4495e-02 4.2621e-02 2.0348e-02
199 2.8955e-02 5.2945e-02 9.0487e-02 1.1257e-03 7.7659e-01 3.4276e-02 4.2028e-02 2.0223e-02
200 2.8893e-02 5.2447e-02 9.0021e-02 1.1050e-03 7.7769e-01 3.4049e-02 4.1439e-02 2.0098e-02
201 2.8830e-02 5.1950e-02 8.9563e-02 1.0851e-03 7.7879e-01 3.3811e-02 4.0853e-02 1.9972e-02
202 2.8767e-02 5.1450e-02 8.9113e-02 1.0659e-03 7.7991e-01 3.3565e-02 4.0272e-02 1.9845e-02
203 2.8704e-02 5.0946e-02 8.8673e-02 1.0476e-03 7.8104e-01 3.3308e-02 3.9697e-02 1.9719e-02
204 2.8641e-02 5.0437e-02 8.8244e-02 1.0301e-03 7.8219e-01 3.3043e-02 3.9126e-02 1.9592e-02
205 2.8579e-02 4.9923e-02 8.7826e-02 1.0135e-03 7.8335e-01 3.2769e-02 3.8561e-02 1.9465e-02
